Birthday,Zip Code,Wear Glasses?,Allergic to Dogs?,Brown Hair?,Blue Eyes?
3/13/1987,14213,Yes,Yes,Yes,Yes
5/9/1900,14208,Yes,Yes,No,No
6/28/1917,14210,No,Yes,No,Yes
6/16/2003,14223,Yes,No,Yes,Yes
5/14/1913,14204,No,No,No,Yes
3/11/1922,14214,Yes,Yes,Yes,Yes
9/2/1917,14218,Yes,No,Yes,Yes
6/27/1965,14206,No,No,Yes,Yes
8/9/1949,14203,No,Yes,Yes,No
3/24/1989,14215,No,Yes,Yes,Yes
11/12/1973,14211,Yes,Yes,No,Yes
11/15/1951,14202,Yes,Yes,No,Yes
10/5/2001,14202,Yes,No,Yes,Yes
6/18/1959,14212,No,Yes,Yes,Yes
12/20/1969,14215,No,Yes,Yes,Yes
5/20/1937,14213,No,Yes,No,Yes
1/30/1972,14201,No,No,Yes,Yes
12/11/1929,14212,Yes,No,Yes,Yes
10/10/1992,14206,Yes,No,No,Yes
12/27/1968,14201,No,Yes,No,Yes
2/24/1902,14223,Yes,No,Yes,Yes
1/5/1910,14214,No,Yes,No,Yes
12/10/1944,14214,No,Yes,Yes,Yes
8/19/1957,14213,Yes,Yes,Yes,Yes
2/24/1903,14215,Yes,No,Yes,No
12/16/1975,14218,Yes,Yes,Yes,Yes
6/21/1997,14212,No,No,Yes,Yes
1/17/1919,14212,No,Yes,No,Yes
11/27/1938,14201,No,Yes,No,Yes
3/21/1955,14213,No,Yes,Yes,Yes
11/30/2009,14201,Yes,Yes,Yes,Yes
2/6/1916,14210,Yes,No,Yes,No
2/12/1972,14210,Yes,No,Yes,No
5/24/1983,14206,Yes,Yes,No,Yes
1/23/1934,14214,Yes,Yes,No,Yes
1/13/1913,14223,Yes,Yes,Yes,Yes
3/17/1929,14216,Yes,No,No,Yes
5/3/1929,14202,No,Yes,Yes,Yes
6/8/1973,14213,Yes,Yes,Yes,Yes
4/6/1909,14213,No,Yes,No,Yes
5/10/1926,14212,Yes,Yes,Yes,Yes
5/19/2009,14210,No,Yes,Yes,Yes
7/14/1908,14208,No,No,Yes,Yes
5/28/1977,14218,No,No,Yes,Yes
10/13/1987,14213,No,No,No,Yes
11/3/1903,14204,Yes,Yes,Yes,No
4/23/1972,14212,No,Yes,Yes,No
6/10/2000,14210,No,Yes,Yes,Yes
9/7/1971,14203,Yes,Yes,Yes,Yes
4/10/1930,14210,No,No,No,Yes
2/30/1986,14212,No,Yes,Yes,No
12/1/1928,14201,No,Yes,No,Yes
1/29/1952,14215,No,Yes,No,Yes
8/6/1962,14216,No,Yes,Yes,Yes
6/17/1982,14213,Yes,Yes,No,Yes
11/6/1979,14215,No,Yes,Yes,Yes
8/22/1928,14215,No,Yes,Yes,Yes
7/4/1998,14218,Yes,Yes,Yes,Yes
3/3/1940,14201,No,Yes,No,Yes
7/8/2005,14218,No,Yes,Yes,No
12/9/1904,14211,Yes,Yes,Yes,Yes
1/12/1958,14208,Yes,No,Yes,Yes
4/3/1901,14203,Yes,No,Yes,Yes
4/5/1955,14218,Yes,Yes,Yes,Yes
2/1/1966,14208,No,Yes,No,Yes
6/31/1919,14212,Yes,Yes,Yes,No
1/3/1990,14222,Yes,Yes,Yes,No
2/2/2008,14210,No,No,Yes,Yes
2/1/1989,14208,No,Yes,No,Yes
2/19/1916,14201,No,No,Yes,Yes
5/27/1979,14208,No,Yes,Yes,Yes
1/7/1999,14201,Yes,Yes,Yes,Yes
1/8/1962,14201,No,No,No,Yes
9/23/1980,14207,No,No,Yes,Yes
10/3/1951,14210,Yes,Yes,No,Yes
8/14/1953,14215,Yes,Yes,No,Yes
12/20/1964,14213,Yes,No,Yes,No
10/25/2000,14210,No,Yes,Yes,Yes
6/13/1942,14202,No,Yes,Yes,No
9/21/1937,14222,No,No,Yes,No
2/31/1937,14211,No,No,No,No
7/28/1944,14202,No,Yes,Yes,Yes
7/11/1997,14216,No,No,No,Yes
2/10/1998,14215,Yes,No,Yes,Yes
6/6/1906,14204,No,No,Yes,Yes
6/14/1959,14201,No,No,Yes,Yes
7/27/1990,14210,Yes,Yes,Yes,Yes
4/5/1930,14223,No,Yes,Yes,Yes
4/16/1982,14212,No,No,No,Yes
12/28/1987,14222,Yes,Yes,No,Yes
7/10/1960,14212,Yes,Yes,Yes,Yes
4/28/1939,14213,Yes,Yes,Yes,Yes
11/5/1978,14223,No,No,Yes,No
1/6/1976,14214,No,No,No,Yes
7/28/2009,14201,No,Yes,Yes,Yes
8/13/2008,14212,No,No,Yes,Yes
5/15/1960,14208,Yes,Yes,Yes,No
6/22/1998,14210,No,Yes,Yes,No
7/18/1951,14212,Yes,Yes,Yes,Yes
9/3/1917,14211,No,No,Yes,Yes
8/30/1942,14204,No,Yes,Yes,Yes
1/27/1995,14223,Yes,Yes,Yes,Yes
7/11/1987,14204,Yes,Yes,Yes,Yes
11/5/2002,14212,Yes,No,No,Yes
2/26/2007,14210,Yes,No,No,No
10/31/1939,14204,No,No,Yes,No
3/29/1975,14208,Yes,Yes,Yes,No
2/9/1931,14218,No,No,Yes,Yes
5/18/1939,14202,No,Yes,Yes,No
11/28/1929,14214,Yes,No,Yes,Yes
6/7/1929,14218,No,Yes,Yes,Yes
2/25/1996,14213,Yes,Yes,Yes,Yes
2/25/1921,14204,Yes,No,Yes,Yes
7/7/1951,14211,No,Yes,Yes,Yes
6/19/2001,14223,No,No,Yes,No
10/2/1998,14215,Yes,No,Yes,Yes
5/10/1991,14201,No,Yes,No,Yes
2/10/1904,14223,No,No,Yes,Yes
9/9/1949,14214,No,Yes,Yes,Yes
12/16/1903,14213,Yes,Yes,Yes,No
2/23/1936,14213,No,Yes,Yes,Yes
7/10/1960,14216,Yes,Yes,Yes,Yes
5/25/1941,14215,Yes,No,Yes,Yes
2/12/1933,14216,Yes,No,Yes,No
1/9/1913,14223,No,Yes,Yes,Yes
4/5/1939,14210,Yes,No,Yes,Yes
4/29/1943,14212,No,No,Yes,Yes
6/28/2005,14216,No,Yes,No,Yes
1/8/2007,14212,Yes,No,No,Yes
7/27/1933,14215,Yes,Yes,Yes,No
11/7/2001,14204,Yes,Yes,Yes,Yes
10/20/1954,14218,Yes,No,Yes,Yes
12/9/1992,14222,Yes,Yes,No,Yes
5/14/1936,14203,No,Yes,Yes,Yes
6/27/1947,14214,No,Yes,Yes,Yes
7/30/1998,14216,No,Yes,Yes,Yes
1/22/1945,14223,Yes,No,Yes,Yes
10/5/1988,14214,Yes,Yes,Yes,Yes
5/27/1991,14213,Yes,Yes,Yes,Yes
9/28/1931,14201,No,No,Yes,Yes
3/13/1953,14203,Yes,Yes,Yes,Yes
6/24/2010,14204,Yes,No,No,Yes
12/3/1975,14201,Yes,No,Yes,Yes
8/26/1997,14214,Yes,Yes,Yes,Yes
4/16/1965,14201,Yes,Yes,Yes,Yes
1/20/1988,14213,Yes,No,Yes,No
7/7/1985,14202,Yes,No,Yes,No
